dataset,size,model,build_time_sec,avg_lookup_us,mean_abs_error,max_abs_error,mean_correction_us,memory_bytes,misses
uniform,50000,binary_search,4.5797787606716156e-07,0.6743820461754998,0.0,0.0,0.0,400112.0,0.0
uniform,50000,btree,0.0163302916334942,1.4538056760405502,0.0,0.0,0.0,4122237.0,0.0
uniform,50000,linear,0.002366832923144102,0.961673678830266,0.0,0.0,0.2551570457095901,410.0,0.0
uniform,50000,rmi,0.07570252066943794,1.5211875240008035,0.0,0.0,0.26202256170411903,3214.0,0.0
uniform,100000,binary_search,1.6647391021251678e-07,0.761395669542253,0.0,0.0,0.0,800112.0,0.0
uniform,100000,btree,0.0344722083536908,1.4147916808724403,0.0,0.0,0.0,8252045.0,0.0
uniform,100000,linear,0.002495791530236602,0.9524026730408272,0.0,0.0,0.26186963077634573,410.0,0.0
uniform,100000,rmi,0.14876014541368932,1.524264031710724,0.0,0.0,0.2753056663398942,3214.0,0.0
uniform,200000,binary_search,1.8754508346319199e-07,0.7975971869503458,0.0,0.0,0.0,1600112.0,0.0
uniform,200000,btree,0.0742263124557212,1.5331319688508906,0.0,0.0,0.0,16510301.0,0.0
uniform,200000,linear,0.005304916528984904,1.0301251507674654,0.0,0.0,0.2987975797926386,410.0,0.0
uniform,200000,rmi,0.3009224164998159,1.555236172862351,0.0,0.0,0.3277698221306006,3214.0,0.0
zipf,50000,binary_search,1.8754508346319199e-07,0.680180499330163,0.0,0.0,0.0,400112.0,0.0
zipf,50000,btree,0.020277354400604963,1.4111666629711785,0.0,0.0,0.0,4122189.0,0.0
zipf,50000,linear,0.0015281459782272577,2.658534678630531,11765.958,24323.0,1.90185836981982,410.0,0.0
zipf,50000,rmi,0.07721385394688696,3.152375031883518,5227.004666666667,15467.0,1.8111852696165442,3382.0,0.0
zipf,100000,binary_search,1.6693957149982452e-07,0.7281596772372723,0.0,0.0,0.0,800112.0,0.0
zipf,100000,btree,0.03420860460028052,1.3729583006352186,0.0,0.0,0.0,8251997.0,0.0
zipf,100000,linear,0.0030199585016816854,2.806770654084782,23794.322,48715.0,2.0508747159813843,410.0,0.0
zipf,100000,rmi,0.1531429794849828,3.1412638491019607,10488.630333333333,30886.0,1.8463015245894592,3382.0,0.0
zipf,200000,binary_search,1.6647391021251678e-07,0.7719513184080522,0.0,0.0,0.0,1600112.0,0.0
zipf,200000,btree,0.07458429201506078,1.4929445072387655,0.0,0.0,0.0,16510253.0,0.0
zipf,200000,linear,0.005503332940861583,3.05293050284187,47755.756,97203.0,2.2671981326614814,410.0,0.0
zipf,200000,rmi,0.3090620836010203,3.3938124931106968,21217.402666666665,61963.0,2.0788147424658137,3382.0,0.0
baby_names,50000,binary_search,2.0803418010473251e-07,0.6965625022227566,0.0,0.0,0.0,400112.0,0.0
baby_names,50000,btree,0.016939249937422574,1.6707221511751413,0.0,0.0,0.0,4329309.0,0.0
baby_names,50000,linear,0.001585999969393015,2.3615693595881266,899.052,2708.0,1.583082640233139,410.0,0.0
baby_names,50000,rmi,0.07727681251708418,2.8429375185320778,639.0413333333333,1921.0,1.4791878638789058,3466.0,0.0
baby_names,100000,binary_search,1.6647391021251678e-07,0.8081528358161449,0.0,0.0,0.0,800112.0,0.0
baby_names,100000,btree,0.0356311040231958,1.5781945160900552,0.0,0.0,0.0,8659117.0,0.0
baby_names,100000,linear,0.0034175629261881113,2.707228995859623,2485.527,8591.0,1.9088623812422156,410.0,0.0
baby_names,100000,rmi,0.15984933346044272,3.1555696623399854,875.961,4574.0,1.7240882540742555,3466.0,0.0
baby_names,200000,binary_search,2.915039658546448e-07,0.8611109806224704,0.0,0.0,0.0,1600112.0,0.0
baby_names,200000,btree,0.08089139615185559,1.7068958453213174,0.0,0.0,0.0,17317373.0,0.0
baby_names,200000,linear,0.005888500018045306,3.009868203662336,12521.879333333334,32356.0,2.2034121599669256,410.0,0.0
baby_names,200000,rmi,0.3034829585812986,3.098284670462211,2276.641,11294.0,1.7646903482576213,3466.0,0.0
